[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6309.428]
[17.902, 3065.132, 6308.482]
[17.902, 3065.132, 6308.482]
[17.902, 3065.132, 6308.482]
[17.902, 3065.132, 6308.482]
[17.902, 3065.132, 6308.482]
[17.902, 3065.132, 6302.795]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
